sequence,selected_filename,original_filename,width_px,height_px,recommended_use,selection_reason
1,01_arrival_exterior/01_hero_exterior_day.jpg,IMG-20250222-WA0030.jpg.jpeg,960,1280,Hero / opening full-screen scene,Centered facade framed by mature trees; strongest daylight overview and natural depth.
2,01_arrival_exterior/02_property_sign_arrival.jpg,IMG-20240914-WA0049.jpg.jpeg,960,1280,Arrival transition / location marker,Branded roadside sign with foliage and sky; useful for an arrival or location sequence.
3,01_arrival_exterior/03_garden_gate_reveal.jpg,IMG-20250222-WA0032.jpg.jpeg,960,1280,3D reveal / foreground mask,Rustic fence and tree trunk create strong foreground layers leading to the villa.
4,01_arrival_exterior/04_gated_parking.jpg,IMG-20260201-WA0031.jpg.jpeg,1280,960,Parking / practical amenity section,"Landscape view showing gated access, driveway and covered vehicle area."
5,01_arrival_exterior/05_front_porch_entry.jpg,IMG-20260209-WA0013.jpg.jpeg,1280,960,Entry transition / architecture detail,Wide porch and entrance view with clean horizontal lines.
6,01_arrival_exterior/06_exterior_night_ambience.jpg,IMG-20260209-WA0017.jpg.jpeg,960,1280,Evening transition / visual conclusion,"Warm villa lighting, dark foliage and foreground table provide layered depth."
7,02_tropical_setting/07_balcony_tropical_view.jpg,FB_IMG_1725943423161.jpg.jpeg,720,540,Architecture detail / tropical counter-movement,Horizontal balcony view into palms and greenery; strong indoor-to-outdoor transition.
8,02_tropical_setting/08_green_garden_outlook.jpg,FB_IMG_1726141212931.jpg.jpeg,720,960,Nature interlude / slow zoom,"Lush lawn, palms and layered leaves reinforce the quiet inland setting."
9,03_shared_spaces/09_living_dining_overview.jpg,FB_IMG_1725943425562.jpg.jpeg,720,960,Interior reveal / section opener,"Bright shared space showing dining table, staircase and lounge seating in one frame."
10,03_shared_spaces/10_staircase_living_flow.jpg,FB_IMG_1726141206432.jpg.jpeg,720,960,Shared-spaces level transition,Strong staircase diagonal guides the eye between floors.
11,03_shared_spaces/11_double_height_stair_detail.jpg,IMG-20250829-WA0013.jpg.jpeg,960,1280,3D tilt / depth scene,Dramatic upward viewpoint emphasizes the double-height ceiling and layered railings.
12,03_shared_spaces/12_upper_landing_high_resolution.jpg,IMG_4113.JPG.jpeg,3024,4032,Shared-spaces main scene,Highest-resolution landing image with vaulted ceiling and clear spatial depth.
13,03_shared_spaces/13_upper_workspace_lounge.jpg,IMG-20260209-WA0030.jpg.jpeg,960,1280,Workspace / remote-stay section,Long table and seating make the dedicated work or study use visually clear.
14,04_kitchen_amenities/14_full_kitchen_wide.jpg,IMG-20260209-WA0050.jpg.jpeg,1280,960,Amenities inventory supporting media,"Best wide kitchen view with window, long counter and cooking appliances."
15,04_kitchen_amenities/15_kitchen_laundry_appliances.jpg,FB_IMG_1726141204335.jpg.jpeg,720,960,Amenities detail,"Shows cookware, rice cooker, kettle and washing machine together."
16,05_bedrooms_bath/16_bedroom_1_master_high_resolution.jpg,IMG_4174.JPG.jpeg,3024,4032,Primary bedroom feature,Highest-resolution bedroom photo with warm timber bed and styled linens.
17,05_bedrooms_bath/17_bedroom_2_air_conditioned.jpg,IMG-20260209-WA0022.jpg.jpeg,960,1280,AC bedroom highlight,Vaulted ceiling and visible air-conditioning unit support the amenity claim.
18,05_bedrooms_bath/18_bedroom_3_wide.jpg,IMG-20250829-WA0018.jpg.jpeg,1280,960,Desktop room chapter / mobile scroll-snap,Landscape composition communicates room width and furnishings.
19,05_bedrooms_bath/19_bedroom_4_four_poster.jpg,IMG-20250222-WA0051.jpg.jpeg,960,1280,Desktop room chapter / mobile scroll-snap,Distinct four-poster bed gives visual variety across the five-room presentation.
20,05_bedrooms_bath/20_bedroom_5_white_linen.jpg,IMG-20260209-WA0021.jpg.jpeg,960,1280,Desktop room chapter / mobile scroll-snap,"Clean white linens, curtains and mirror create a brighter alternate bedroom look."
21,05_bedrooms_bath/21_bathroom_hot_water_shower.jpg,FB_IMG_1725943350334.jpg.jpeg,720,960,Bathroom / hot-water detail,Clearly shows the shower and wall-mounted hot-water unit.
